learner,fraction_targeted,cumulative_uplift
S-Learner,118481.0,1514.6540521300126
S-Learner,118938.0,1515.1262456735471
S-Learner,119414.0,1528.3965187308474
S-Learner,119880.0,1539.3947699242333
S-Learner,120359.0,1553.749024089252
S-Learner,120828.0,1564.9069785283823
S-Learner,121291.0,1575.1084915988763
S-Learner,121752.0,1578.0277672803545
S-Learner,122226.0,1587.4191072400677
S-Learner,122689.0,1586.161417117677
S-Learner,123159.0,1600.540963530689
S-Learner,123628.0,1596.7979429373231
S-Learner,124102.0,1595.815229201753
S-Learner,124563.0,1594.4486561150954
S-Learner,125042.0,1606.0265602628824
S-Learner,125514.0,1618.3672318400115
S-Learner,125990.0,1595.736398812269
S-Learner,126467.0,1592.850548129081
S-Learner,126941.0,1593.0194650450114
S-Learner,127419.0,1597.6912313088692
S-Learner,127894.0,1608.8747073026047
S-Learner,128388.0,1605.9952444559149
S-Learner,128993.0,1600.1870409781368
S-Learner,129498.0,1605.7992523689609
S-Learner,129986.0,1609.2464927196731
S-Learner,130468.0,1615.859653614347
S-Learner,130941.0,1631.5963842481008
S-Learner,131432.0,1633.3148964451032
S-Learner,131917.0,1634.8941591978687
S-Learner,132378.0,1624.4811803979485
S-Learner,132865.0,1629.6366034408873
S-Learner,133364.0,1634.59501596907
S-Learner,133849.0,1641.4156340197771
S-Learner,134358.0,1655.693437337982
S-Learner,134838.0,1657.069842161505
S-Learner,135338.0,1655.9975284326283
S-Learner,135818.0,1650.4793289107402
S-Learner,136298.0,1665.2562822152292
S-Learner,136768.0,1668.0894865684363
S-Learner,137276.0,1651.2219996668616
S-Learner,137754.0,1657.7878824429215
S-Learner,138232.0,1665.5131744770242
S-Learner,138713.0,1657.077053982238
S-Learner,139191.0,1665.891991004591
S-Learner,139678.0,1667.2080056715808
S-Learner,140155.0,1672.2024547707251
S-Learner,140679.0,1688.0115444231096
S-Learner,141161.0,1697.929981958691
S-Learner,141679.0,1706.1244734935624
S-Learner,142160.0,1709.924504207581
S-Learner,142674.0,1708.0244731739065
S-Learner,143144.0,1720.8846157307073
S-Learner,143622.0,1721.249629835312
S-Learner,144094.0,1719.236571512938
S-Learner,144567.0,1714.1170869210343
S-Learner,145057.0,1691.0020193322755
S-Learner,145554.0,1685.623726871912
S-Learner,146050.0,1699.8859291402057
S-Learner,146533.0,1713.976353835804
S-Learner,147034.0,1713.78339741495
S-Learner,147548.0,1709.1311489884058
S-Learner,148055.0,1703.9051388104492
S-Learner,148512.0,1684.4356146633936
S-Learner,148991.0,1673.3437297663602
S-Learner,149460.0,1682.0629334682994
S-Learner,149946.0,1696.1926622157175
S-Learner,150438.0,1695.460358286891
S-Learner,150909.0,1693.49136317875
S-Learner,151379.0,1686.9845587263856
S-Learner,151849.0,1686.472759931243
S-Learner,152347.0,1688.9417648826216
S-Learner,152815.0,1692.4732306851022
S-Learner,153289.0,1706.640830989128
S-Learner,153750.0,1707.07091946092
S-Learner,154232.0,1714.434002483073
S-Learner,154734.0,1697.9185720852097
S-Learner,155230.0,1676.7091110378651
S-Learner,155704.0,1671.744029053136
S-Learner,156184.0,1670.2956949317202
S-Learner,156657.0,1671.1413525903183
S-Learner,157140.0,1671.8671619899676
S-Learner,157621.0,1679.5152371208503
S-Learner,158100.0,1676.1378114728082
S-Learner,158572.0,1673.2811716340705
S-Learner,159042.0,1683.6548355660627
S-Learner,159537.0,1687.8150982364507
S-Learner,160031.0,1702.0713009573606
S-Learner,160515.0,1710.1768835616565
S-Learner,161012.0,1713.9307423125065
S-Learner,161538.0,1720.829118961517
S-Learner,161997.0,1722.547004740832
S-Learner,162513.0,1729.7520373867624
S-Learner,162995.0,1728.7778967075762
S-Learner,163496.0,1732.7603987562004
S-Learner,163985.0,1737.2654084326132
S-Learner,164478.0,1743.2942486910815
S-Learner,164978.0,1734.8052846126882
S-Learner,165474.0,1729.6125597539717
S-Learner,165972.0,1738.3289773888364
S-Learner,166445.0,1733.6791158104668
S-Learner,166971.0,1726.756252344155
S-Learner,167471.0,1733.0950275294608
S-Learner,168036.0,1737.7574885908434
S-Learner,168546.0,1721.7743702147116
S-Learner,169052.0,1730.0402757865577
S-Learner,169537.0,1710.4897083384733
S-Learner,170057.0,1713.3393287995775
S-Learner,170575.0,1719.2494706051398
S-Learner,171077.0,1706.0907346500026
S-Learner,171592.0,1703.022884671038
S-Learner,172095.0,1717.7280891016455
S-Learner,172610.0,1723.9563748625735
S-Learner,173137.0,1724.02443485988
S-Learner,173634.0,1736.931762075637
S-Learner,174145.0,1743.0618866879672
S-Learner,174654.0,1750.1431019665288
S-Learner,175152.0,1761.0011207986745
S-Learner,175660.0,1758.481806888575
S-Learner,176151.0,1764.741733408744
S-Learner,176644.0,1775.534290864323
S-Learner,177167.0,1789.028500494657
S-Learner,177712.0,1790.6632584118772
S-Learner,178262.0,1797.8686711994922
S-Learner,178760.0,1803.0545924069488
S-Learner,179400.0,1821.3454229850552
S-Learner,179912.0,1823.396462749337
S-Learner,180408.0,1825.5644997803197
S-Learner,180920.0,1824.022946854185
S-Learner,181443.0,1833.327997514633
S-Learner,181938.0,1841.152343489648
S-Learner,182413.0,1846.212615765314
S-Learner,182954.0,1852.072275969576
S-Learner,183450.0,1863.406957249381
S-Learner,183985.0,1872.7476038346135
S-Learner,184507.0,1870.935197223021
S-Learner,185042.0,1852.3652905050903
S-Learner,185620.0,1845.73363942038
S-Learner,186193.0,1854.306983510827
S-Learner,186698.0,1859.641747099966
S-Learner,187225.0,1854.9317272220976
S-Learner,187795.0,1844.9180669848552
S-Learner,188309.0,1836.881889109504
S-Learner,188829.0,1843.947648349966
S-Learner,189327.0,1833.7937083630268
S-Learner,189944.0,1838.856457332686
S-Learner,190467.0,1831.7352208767657
S-Learner,190990.0,1823.9357041683024
S-Learner,191504.0,1823.5787761109127
S-Learner,192016.0,1817.5692815672585
S-Learner,192515.0,1823.7789558794052
S-Learner,193043.0,1820.664224808088
S-Learner,193568.0,1823.787370344322
S-Learner,194169.0,1833.82648969477
