strategy,fraction_targeted,cumulative_uplift
X-learner CATE,797140.0,2870.904864284026
X-learner CATE,799855.0,2873.045888615544
X-learner CATE,802572.0,2878.848267270862
X-learner CATE,805287.0,2879.356460884641
X-learner CATE,808009.0,2876.625688836996
X-learner CATE,810758.0,2878.832398859493
X-learner CATE,813549.0,2874.2214181236745
X-learner CATE,816340.0,2874.2382455619313
X-learner CATE,819078.0,2876.8729906235885
X-learner CATE,821794.0,2871.187677079823
X-learner CATE,824511.0,2872.11398838748
X-learner CATE,827286.0,2873.413320584958
X-learner CATE,830001.0,2873.4182355194635
X-learner CATE,832716.0,2867.1021221703563
X-learner CATE,835549.0,2868.5335490648527
X-learner CATE,838272.0,2871.841084415878
X-learner CATE,840994.0,2872.2955037897104
X-learner CATE,843717.0,2872.169928996447
X-learner CATE,846495.0,2874.1216377804058
X-learner CATE,849299.0,2877.22426743297
X-learner CATE,852033.0,2879.6981905135985
X-learner CATE,854793.0,2883.0512228146704
X-learner CATE,857554.0,2886.8363785316824
X-learner CATE,860299.0,2887.73195126194
X-learner CATE,863016.0,2886.462291409309
X-learner CATE,865737.0,2889.437622489656
X-learner CATE,868487.0,2882.9384068396334
X-learner CATE,871301.0,2885.369326751139
X-learner CATE,874092.0,2889.640508158882
X-learner CATE,876894.0,2889.9939499649477
X-learner CATE,879672.0,2894.076219033905
X-learner CATE,882449.0,2896.2560366579633
X-learner CATE,885239.0,2897.9928418215472
X-learner CATE,887956.0,2899.9701607994425
X-learner CATE,890720.0,2904.1228729810314
X-learner CATE,893436.0,2903.8881870849436
X-learner CATE,896154.0,2906.569244909306
X-learner CATE,898873.0,2907.110532745056
X-learner CATE,901590.0,2908.6762995669405
X-learner CATE,904361.0,2903.6232662354573
X-learner CATE,907156.0,2907.7468511552
X-learner CATE,909966.0,2910.841851924581
X-learner CATE,912750.0,2911.1901289518846
X-learner CATE,915497.0,2913.684409879827
X-learner CATE,918219.0,2916.171654510527
X-learner CATE,920936.0,2920.5133530260687
X-learner CATE,923657.0,2921.234722948729
X-learner CATE,926504.0,2925.4793238424077
